Seq_number	New_name	Site	Season	Bio_rep	Tech_rep	Sample_Control	Control_type	Sample	Grass
Dockweiler.1.Fall.Tech.Rep.1.MiFish.S1	Dockweiler_A_Fall_MiFish	Dockweiler	Fall	A	1	Sample	NA	Tanner	NA
Dockweiler.2.Fall.Tech.Rep.1.MiFish.S2	Dockweiler_B_Fall_MiFish	Dockweiler	Fall	B	1	Sample	NA	Tanner	NA
Dockweiler.3.Fall.Tech.Rep.1.MiFish.S3	Dockweiler_C_Fall_MiFish	Dockweiler	Fall	C	1	Sample	NA	Tanner	NA
Amarillo.1.Fall.Tech.Rep.1.MiFish.S4	Amarillo_A_Fall_MiFish	Amarillo	Fall	A	1	Sample	NA	Tanner	Seagrass
Amarillo.2.Fall.Tech.Rep.1.MiFish.S5	Amarillo_B_Fall_MiFish	Amarillo	Fall	B	1	Sample	NA	Tanner	Seagrass
Amarillo.3.Fall.Tech.Rep.1.MiFish.S6	Amarillo_C_Fall_MiFish	Amarillo	Fall	C	1	Sample	NA	Tanner	Seagrass
D.and.A.control.Fall.Tech.Rep.1.MiFish.S7	D_and_A_control_Fall_MiFish	NA	Fall	NA	NA	Control	Blank	Tanner	NA
Inner.Newport.1.Fall.Tech.Rep.1.MiFish.S8	Inner_DeAnza_Peninsula_A_Fall_MiFish	Inner DeAnza Peninsula	Fall	A	1	Sample	NA	Tanner	Seagrass
Inner.Newport.2.Fall.Tech.Rep.1.MiFish.S9	Inner_DeAnza_Peninsula_B_Fall_MiFish	Inner DeAnza Peninsula	Fall	B	1	Sample	NA	Tanner	Seagrass
Inner.Newport.3.Fall.Tech.Rep.1.MiFish.S10	Inner_DeAnza_Peninsula_C_Fall_MiFish	Inner DeAnza Peninsula	Fall	C	1	Sample	NA	Tanner	Seagrass
Outer.Newport.1.Fall.Tech.Rep.1.MiFish.S11	Outer_DeAnza_Peninsula_A_Fall_MiFish	Outer DeAnza Peninsula	Fall	A	1	Sample	NA	Tanner	Seagrass
Outer.Newport.2.Fall.Tech.Rep.1.MiFish.S12	Outer_DeAnza_Peninsula_B_Fall_MiFish	Outer DeAnza Peninsula	Fall	B	1	Sample	NA	Tanner	Seagrass
Outer.Newport.3.Fall.Tech.Rep.1.MiFish.S13	Outer_DeAnza_Peninsula_C_Fall_MiFish	Outer DeAnza Peninsula	Fall	C	1	Sample	NA	Tanner	Seagrass
Newport.control.Fall.Tech.Rep.1.MiFish.S14	Newport_control_Fall_MiFish	NA	Fall	NA	NA	Control	Blank	Tanner	NA
Big.Geiger.1.Fall.Tech.Rep.1.MiFish.S15	Big_Geiger_Cove_A_Fall_MiFish	Big Geiger Cove	Fall	A	1	Sample	NA	Tanner	Seagrass
Big.Geiger.2.Fall.Tech.Rep.1.MiFish.S16	Big_Geiger_Cove_B_Fall_MiFish	Big Geiger Cove	Fall	B	1	Sample	NA	Tanner	Seagrass
Big.Geiger.3.Fall.Tech.Rep.1.MiFish.S17	Big_Geiger_Cove_C_Fall_MiFish	Big Geiger Cove	Fall	C	1	Sample	NA	Tanner	Seagrass
Cherry.Cove.1.Fall.Tech.Rep.1.MiFish.S18	Cherry_Cove_A_Fall_MiFish	Cherry Cove	Fall	A	1	Sample	NA	Tanner	Seagrass
Cherry.Cove.2.Fall.Tech.Rep.1.MiFish.S19	Cherry_Cove_B_Fall_MiFish	Cherry Cove	Fall	B	1	Sample	NA	Tanner	Seagrass
Cherry.Cove.3.Fall.Tech.Rep.1.MiFish.S20	Cherry_Cove_C_Fall_MiFish	Cherry Cove	Fall	C	1	Sample	NA	Tanner	Seagrass
Two.harabors.1.Fall.Tech.Rep.1.MiFish.S21	Two_harabors_A_Fall_MiFish	Two Harbors	Fall	A	1	Sample	NA	Tanner	Seagrass
Two.harabors.2.Fall.Tech.Rep.1.MiFish.S22	Two_harabors_B_Fall_MiFish	Two Harbors	Fall	B	1	Sample	NA	Tanner	Seagrass
Two.harabors.3.Fall.Tech.Rep.1.MiFish.S23	Two_harabors_C_Fall_MiFish	Two Harbors	Fall	C	1	Sample	NA	Tanner	Seagrass
Dockweiler.1.Winter.Tech.Rep.1.MiFish.S25	Dockweiler_A_Winter_MiFish	Dockweiler	Winter	A	1	Sample	NA	Tanner	NA
Dockweiler.2.Winter.Tech.Rep.1.MiFish.S26	Dockweiler_B_Winter_MiFish	Dockweiler	Winter	B	1	Sample	NA	Tanner	NA
Dockweiler.3.Winter.Tech.Rep.1.MiFish.S27	Dockweiler_C_Winter_MiFish	Dockweiler	Winter	C	1	Sample	NA	Tanner	NA
Amarillo.1.Winter.Tech.Rep.1.MiFish.S28	Amarillo_A_Winter_MiFish	Amarillo	Winter	A	1	Sample	NA	Tanner	Seagrass
Amarillo.2.Winter.Tech.Rep.1.MiFish.S29	Amarillo_B_Winter_MiFish	Amarillo	Winter	B	1	Sample	NA	Tanner	Seagrass
Amarillo.3.Winter.Tech.Rep.1.MiFish.S30	Amarillo_C_Winter_MiFish	Amarillo	Winter	C	1	Sample	NA	Tanner	Seagrass
D.and.A.control.Winter.Tech.Rep.1.MiFish.S31	D_and_A_control_Winter_MiFish	NA	Winter	NA	NA	Control	Blank	Tanner	NA
Inner.Newport.1.Winter.Tech.Rep.1.MiFish.S32	Inner_DeAnza_Peninsula_A_Winter_MiFish	Inner DeAnza Peninsula	Winter	A	1	Sample	NA	Tanner	Seagrass
Inner.Newport.2.Winter.Tech.Rep.1.MiFish.S33	Inner_DeAnza_Peninsula_B_Winter_MiFish	Inner DeAnza Peninsula	Winter	B	1	Sample	NA	Tanner	Seagrass
Inner.Newport.3.Winter.Tech.Rep.1.MiFish.S34	Inner_DeAnza_Peninsula_C_Winter_MiFish	Inner DeAnza Peninsula	Winter	C	1	Sample	NA	Tanner	Seagrass
Outer.Newport.1.Winter.Tech.Rep.1.MiFish.S35	Outer_DeAnza_Peninsula_A_Winter_MiFish	Outer DeAnza Peninsula	Winter	A	1	Sample	NA	Tanner	Seagrass
Outer.Newport.2.Winter.Tech.Rep.1.MiFish.S36	Outer_DeAnza_Peninsula_B_Winter_MiFish	Outer DeAnza Peninsula	Winter	B	1	Sample	NA	Tanner	Seagrass
Outer.Newport.3.Winter.Tech.Rep.1.MiFish.S37	Outer_DeAnza_Peninsula_C_Winter_MiFish	Outer DeAnza Peninsula	Winter	C	1	Sample	NA	Tanner	Seagrass
Newport.control.Winter.Tech.Rep.1.MiFish.S38	Newport_control_Winter_MiFish	NA	Winter	NA	NA	Control	Blank	Tanner	NA
Big.Geiger.1.Winter.Tech.Rep.1.MiFish.S39	Big_Geiger_Cove_A_Winter_MiFish	Big Geiger Cove	Winter	A	1	Sample	NA	Tanner	Seagrass
Big.Geiger.2.Winter.Tech.Rep.1.MiFish.S40	Big_Geiger_Cove_B_Winter_MiFish	Big Geiger Cove	Winter	B	1	Sample	NA	Tanner	Seagrass
Big.Geiger.3.Winter.Tech.Rep.1.MiFish.S41	Big_Geiger_Cove_C_Winter_MiFish	Big Geiger Cove	Winter	C	1	Sample	NA	Tanner	Seagrass
Cherry.Cove.1.Winter.Tech.Rep.1.MiFish.S42	Cherry_Cove_A_Winter_MiFish	Cherry Cove	Winter	A	1	Sample	NA	Tanner	Seagrass
Cherry.Cove.2.Winter.Tech.Rep.1.MiFish.S43	Cherry_Cove_B_Winter_MiFish	Cherry Cove	Winter	B	1	Sample	NA	Tanner	Seagrass
Cherry.Cove.3.Winter.Tech.Rep.1.MiFish.S44	Cherry_Cove_C_Winter_MiFish	Cherry Cove	Winter	C	1	Sample	NA	Tanner	Seagrass
Two.harabors.1.Winter.Tech.Rep.1.MiFish.S45	Two_harabors_A_Winter_MiFish	Two Harbors	Winter	A	1	Sample	NA	Tanner	Seagrass
Two.harabors.2.Winter.Tech.Rep.1.MiFish.S46	Two_harabors_B_Winter_MiFish	Two Harbors	Winter	B	1	Sample	NA	Tanner	Seagrass
Two.harabors.3.Winter.Tech.Rep.1.MiFish.S47	Two_harabors_C_Winter_MiFish	Two Harbors	Winter	C	1	Sample	NA	Tanner	Seagrass
Catalina.Control.Winter.Tech.Rep.1.MiFish.S48	Catalina_Control_Winter_MiFish	NA	NA	NA	NA	Control	Blank	Tanner	NA
Alligator.Control.First.Half.Tech.Rep.1.MiFish.S49	Alligator_Control_First_Half_MiFish	NA	NA	NA	NA	Control	Pos	Tanner	NA
Camel.Control.First.Half.Tech.Rep.1.MiFish.S50	Camel_Control_First_Half_MiFish	NA	NA	NA	NA	Control	Pos	Tanner	NA
PCR.Blank.First.Half.Tech.Rep.1.MiFish.S51	PCR_Blank_First_Half_MiFish	NA	NA	NA	NA	Control	Blank	Tanner	NA
Dockweiler.1.Spring.Tech.Rep.1.MiFish.S52	Dockweiler_A_Spring_MiFish	Dockweiler	Spring	A	1	Sample	NA	Tanner	NA
Dockweiler.2.Spring.Tech.Rep.1.MiFish.S53	Dockweiler_B_Spring_MiFish	Dockweiler	Spring	B	1	Sample	NA	Tanner	NA
Dockweiler.3.Spring.Tech.Rep.1.MiFish.S54	Dockweiler_C_Spring_MiFish	Dockweiler	Spring	C	1	Sample	NA	Tanner	NA
Amarillo.1.Spring.Tech.Rep.1.MiFish.S55	Amarillo_A_Spring_MiFish	Amarillo	Spring	A	1	Sample	NA	Tanner	Seagrass
Amarillo.2.Spring.Tech.Rep.1.MiFish.S56	Amarillo_B_Spring_MiFish	Amarillo	Spring	B	1	Sample	NA	Tanner	Seagrass
Amarillo.3.Spring.Tech.Rep.1.MiFish.S57	Amarillo_C_Spring_MiFish	Amarillo	Spring	C	1	Sample	NA	Tanner	Seagrass
D.and.A.control.Spring.Tech.Rep.1.MiFish.S58	D_and_A_control_Spring_MiFish	NA	Spring	NA	NA	Control	Blank	Tanner	NA
Inner.Newport.1.Spring.Tech.Rep.1.MiFish.S59	Inner_DeAnza_Peninsula_A_Spring_MiFish	Inner DeAnza Peninsula	Spring	A	1	Sample	NA	Tanner	Seagrass
Inner.Newport.2.Spring.Tech.Rep.1.MiFish.S60	Inner_DeAnza_Peninsula_B_Spring_MiFish	Inner DeAnza Peninsula	Spring	B	1	Sample	NA	Tanner	Seagrass
Inner.Newport.3.Spring.Tech.Rep.1.MiFish.S61	Inner_DeAnza_Peninsula_C_Spring_MiFish	Inner DeAnza Peninsula	Spring	C	1	Sample	NA	Tanner	Seagrass
Outer.Newport.1.Spring.Tech.Rep.1.MiFish.S62	Outer_DeAnza_Peninsula_A_Spring_MiFish	Outer DeAnza Peninsula	Spring	A	1	Sample	NA	Tanner	Seagrass
Outer.Newport.2.Spring.Tech.Rep.1.MiFish.S63	Outer_DeAnza_Peninsula_B_Spring_MiFish	Outer DeAnza Peninsula	Spring	B	1	Sample	NA	Tanner	Seagrass
Outer.Newport.3.Spring.Tech.Rep.1.MiFish.S64	Outer_DeAnza_Peninsula_C_Spring_MiFish	Outer DeAnza Peninsula	Spring	C	1	Sample	NA	Tanner	Seagrass
Newport.control.Spring.Tech.Rep.1.MiFish.S65	Newport_control_Spring_MiFish	NA	Spring	NA	NA	Control	Blank	Tanner	NA
Big.Geiger.1.Spring.Tech.Rep.1.MiFish.S66	Big_Geiger_Cove_A_Spring_MiFish	Big Geiger Cove	Spring	A	1	Sample	NA	Tanner	Seagrass
Big.Geiger.2.Spring.Tech.Rep.1.MiFish.S67	Big_Geiger_Cove_B_Spring_MiFish	Big Geiger Cove	Spring	B	1	Sample	NA	Tanner	Seagrass
Big.Geiger.3.Spring.Tech.Rep.1.MiFish.S68	Big_Geiger_Cove_C_Spring_MiFish	Big Geiger Cove	Spring	C	1	Sample	NA	Tanner	Seagrass
Cherry.Cove.1.Spring.Tech.Rep.1.MiFish.S69	Cherry_Cove_A_Spring_MiFish	Cherry Cove	Spring	A	1	Sample	NA	Tanner	Seagrass
Cherry.Cove.2.Spring.Tech.Rep.1.MiFish.S70	Cherry_Cove_B_Spring_MiFish	Cherry Cove	Spring	B	1	Sample	NA	Tanner	Seagrass
Cherry.Cove.3.Spring.Tech.Rep.1.MiFish.S71	Cherry_Cove_C_Spring_MiFish	Cherry Cove	Spring	C	1	Sample	NA	Tanner	Seagrass
Two.harabors.1.Spring.Tech.Rep.1.MiFish.S72	Two_harabors_A_Spring_MiFish	Two Harbors	Spring	A	1	Sample	NA	Tanner	Seagrass
Two.harabors.2.Spring.Tech.Rep.1.MiFish.S73	Two_harabors_B_Spring_MiFish	Two Harbors	Spring	B	1	Sample	NA	Tanner	Seagrass
Two.harabors.3.Spring.Tech.Rep.1.MiFish.S74	Two_harabors_C_Spring_MiFish	Two Harbors	Spring	C	1	Sample	NA	Tanner	Seagrass
Catalina.Control.Spring.Tech.Rep.1.MiFish.S75	Catalina_Control_Spring_MiFish	NA	Spring	NA	NA	Control	Blank	Tanner	NA
Dockweiler.1.Summer.Tech.Rep.1.MiFish.S76	Dockweiler_A_Summer_MiFish	Dockweiler	Summer	A	1	Sample	NA	Tanner	NA
Dockweiler.2.Summer.Tech.Rep.1.MiFish.S77	Dockweiler_B_Summer_MiFish	Dockweiler	Summer	B	1	Sample	NA	Tanner	NA
Dockweiler.3.Summer.Tech.Rep.1.MiFish.S78	Dockweiler_C_Summer_MiFish	Dockweiler	Summer	C	1	Sample	NA	Tanner	NA
